ID,ART-B-5,ART-HF-5,ART-T-5
1,2.467,2.155,3.119
2,2.957,1.317,2.073
3,1.82,1.931,1.543
4,1.047,1.131,1.033
5,2.858,1.931,1.415
6,2.035,1.836,2.305
7,1.771,0.93,2.806
8,2.136,1.487,1.547
9,1.869,1.319,2.52
10,4.342,1.649,2.479
11,1.335,1.546,3.504
12,3.155,3.138,1.888
13,1.535,2.195,6.307
14,2.102,1.153,2.286
15,1.602,1.133,1.318
16,3.134,2.693,4.353
17,2.42,2.269,1.636
18,2.29,0.733,3.549
19,1.217,1.53,1.736
20,0.948,4.192,6.289
21,2.618,2.002,5.91
22,1.798,1.535,2.087
23,2.199,1.97,2.575
24,2.436,2.036,3.49
25,2.466,0.017,3.69
26,2.834,0.801,0.922
27,2.051,4.053,6.182
28,2.537,2.518,2.237
29,2.034,1.434,1.986
30,2.337,3.205,1.733
31,2.483,2.041,2.95
32,3.385,1.534,2.118
33,2.085,3.315,6.508
34,1.358,1.17,3.35
35,1.371,1.684,0.98
36,1.402,1.569,3.758
37,3.121,1.968,2.027
38,2.973,2.723,2.207
39,1.433,1.053,2.119
40,1.869,0.819,1.955
