ID,Min-SH-B-1,Min-SH-B-2,Min-SH-B-3,Min-SH-B-4,Max-Speed-B-1,Max-Speed-B-2,Max-Speed-B-3,Max-Speed-B-4,Max-ABS LA-B-1,Max-ABS LA-B-2,Max-ABS LA-B-3,Max-ABS LA-B-4
1,24.35,41.4,37.98,37.03,18.19444444,17.13888889,9.638888889,3.5,3.472222222,16.2037037,8.680555556,7.936507937
2,14.24,13.21,9.5,5.99,18.33333333,17.08333333,9.388888889,3.583333333,7.936507937,14.95726496,6.944444444,10.41666667
3,17.93,9.51,7.62,6.15,18.97222222,16.58333333,10.41666667,2.861111111,6.41025641,21.60493827,12.62626263,12.96296296
4,16.52,12.22,11.3,6.26,19.08333333,15.05555556,8.694444444,3,10.1010101,21.60493827,13.88888889,12.96296296
5,14.71,17.15,11.25,10.56,17.55555556,16.55555556,10.86111111,3.138888889,5.050505051,17.67676768,14.95726496,3.968253968
6,23.67,28.79,20.27,16.78,16.97222222,15.47222222,8.638888889,3.527777778,7.575757576,8.169934641,6.944444444,2.777777778
7,21.4,20.86,17.4,16.66,18.61111111,15.5,9.444444444,4.944444444,5.050505051,17.67676768,6.944444444,8.547008547
8,49.1,29.65,16.22,9.43,17.61111111,16.02777778,10.72222222,3.944444444,6.944444444,13.07189542,25.25252525,13.88888889
9,76.25,27.34,21.26,12.32,18.36111111,17.91666667,9.833333333,4.527777778,5.291005291,13.88888889,6.944444444,4.273504274
10,39.8,13.02,11.85,6.63,20.25,15.69444444,9.25,3.944444444,4.62962963,11.11111111,6.944444444,9.803921569
11,28.64,15.08,5.86,6.54,22.02777778,21.83333333,10.47222222,5.305555556,8.680555556,17.09401709,20.83333333,21.60493827
12,27.04,25.5,21.33,20.2,16.97222222,16.86111111,8.166666667,3.75,5.291005291,14.95726496,4.62962963,2.777777778
13,40.08,36.55,32.03,19.36,20.22222222,16.88888889,11.58333333,3.25,6.535947712,15.15151515,10.1010101,3.968253968
14,9.49,12.8,9.15,7.77,17.80555556,16.08333333,9.027777778,3,12.15277778,21.36752137,16.66666667,11.4379085
15,73.53,56.94,20.18,12.78,22.13888889,16.58333333,13.02777778,4.111111111,7.407407407,20.2020202,19.84126984,11.57407407
16,55.3,60.1,43.74,36.47,18.36111111,16.72222222,10.36111111,3.75,8.333333333,11.4379085,11.9047619,3.086419753
17,19.25,14.85,13.68,11.36,18.66666667,14.88888889,8.416666667,4.277777778,6.944444444,15.87301587,6.41025641,2.525252525
18,68.68,30.34,11.33,8.72,19.25,21.11111111,10.33333333,4.055555556,10.23391813,18.51851852,11.4379085,12.82051282
19,22.34,17.11,10.17,6.38,18.44444444,15.25,10.47222222,4.25,5.208333333,11.57407407,11.11111111,15.15151515
20,28.02,30.66,21.35,36.54,18.55555556,18.88888889,14.61111111,4.083333333,11.11111111,12.96296296,10.80246914,3.086419753
21,20.87,22.54,18.1,16.6,20.13888889,16.13888889,10.58333333,4.5,11.57407407,22.72727273,13.88888889,7.575757576
22,27.92,23.07,16.1,11.31,19.41666667,18.11111111,10.63888889,4.083333333,5.952380952,17.67676768,11.11111111,6.172839506
23,19.66,21.51,12.93,8.56,17.94444444,16.44444444,8.472222222,3.5,5.555555556,13.88888889,9.259259259,7.936507937
24,29.14,29.01,19.28,23.58,17.5,16.55555556,10.72222222,4.305555556,6.944444444,12.96296296,15.87301587,3.472222222
25,17.88,15.27,10.1,7.03,16.94444444,16.75,8.833333333,3.472222222,3.968253968,12.82051282,5.050505051,5.555555556
26,37.68,27.81,17.78,17.09,18.27777778,17,9.333333333,3.916666667,4.62962963,19.44444444,8.333333333,15.43209877
27,53.93,51.55,32.6,14.97,17.83333333,14.66666667,9.416666667,4.277777778,4.273504274,10.41666667,5.555555556,3.472222222
28,41.09,19.73,16.77,15.76,20.47222222,16.41666667,10.61111111,4.083333333,6.944444444,16.2037037,12.15277778,3.968253968
29,75.75,21.6,14.14,9.43,19.80555556,19.72222222,9.472222222,3.416666667,14.95726496,15.43209877,7.575757576,3.703703704
30,7.17,5.93,8.13,7.33,21.69444444,20.72222222,9,2.944444444,13.88888889,13.88888889,6.41025641,12.34567901
31,18.76,22.57,19.9,15.17,17.55555556,15.69444444,8.888888889,3.222222222,6.172839506,9.259259259,6.944444444,3.472222222
32,63.25,62.15,40.11,26.07,18.13888889,17.25,9.972222222,3.527777778,8.888888889,7.936507937,7.936507937,2.525252525
33,32.22,21.22,12.29,19.42,18.19444444,17.97222222,13.25,3.194444444,7.936507937,15.15151515,13.88888889,3.086419753
34,10.1,11.06,9.38,7.35,17.47222222,15.47222222,8.694444444,3.944444444,9.259259259,14.95726496,11.11111111,11.57407407
35,14.63,14.98,12.35,8.55,17.63888889,14.94444444,9.027777778,3.388888889,5.952380952,12.96296296,5.555555556,12.15277778
36,25.99,20.85,13.11,12.59,17.47222222,16.13888889,10.66666667,4.5,6.944444444,17.67676768,23.80952381,15.87301587
37,33.9,32.31,22.08,18.98,19.41666667,15.66666667,9.833333333,3.916666667,12.82051282,12.96296296,9.259259259,2.777777778
38,30.81,17.53,13.89,10.67,20.08333333,15.11111111,9.333333333,3.166666667,4.62962963,12.34567901,6.944444444,3.472222222
39,18.05,14.32,9.09,7.9,18.69444444,16.11111111,8.777777778,2.944444444,6.944444444,9.920634921,7.575757576,5.050505051
40,26.77,15.11,11.85,13.26,16.72222222,16.38888889,8.611111111,4.333333333,7.936507937,11.9047619,11.9047619,6.944444444
