ID,TIBL-B-6,TIBL-HF-6,TIBL-T-6
1,1.253,0.964,1.573
2,0.731,3.669,1.849
3,1.335,2.452,1.949
4,1.342,1.12,1.254
5,2.993,4.124,7.137
6,2.948,1.639,2.466
7,,,
8,4.833,6.5,6.823
9,2.053,3.683,7.612
10,3.872,3.936,2.264
11,3.617,2.15,2.891
12,,,
13,0.59,1.701,1.451
14,4.707,1.952,1.804
15,4.406,4.902,6.522
16,1.573,1.815,1.851
17,3.653,5.062,5.539
18,1.888,1.986,3.752
19,,,
20,2.162,1.82,3.871
21,5.503,6.551,6.152
22,2.319,2.378,6.273
23,4.138,5.223,4.691
24,1.722,3.254,3.992
25,2.052,2.505,1.519
26,3.37,8.037,4.386
27,2.286,1.903,3.381
28,5.107,4.957,4.322
29,1.148,1.806,1.369
30,2.652,5.818,3.573
31,,,
32,3.575,5.073,3.257
33,1.59,1.429,1.518
34,2.021,3.993,3.157
35,1.603,6.876,8.242
36,3.187,3.472,4.91
37,1.957,2.402,4.916
38,1.655,1.973,7.761
39,1.712,5.09,3.336
40,,,
